closing_date,year,period_type,dividend_value
2021-12-10,2020,full year,9.39
2020-11-20,2019,full year,12.0
2019-09-03,2018,full year,12.29
2018-08-10,2017,full year,12.06
2017-11-17,2016,full year,2.34
2017-08-04,2016,full year,6.25
2016-11-25,2015,full year,1.89
2016-05-13,2015,full year,3.37
2015-11-20,2014,full year,2.04
2015-05-15,2014,full year,6.32
