closing_date,year,period_type,dividend_value
2016-07-11,2015,full year,0.15970876
2015-07-13,2014,full year,0.08615742
2014-07-11,2013,full year,0.06261911
2013-05-21,2012,full year,0.04722048
2012-05-23,2011,full year,0.4192847
