closing_date,year,period_type,dividend_value
2024-06-28,2023,full year,4.874327
2023-06-30,2022,full year,2.29039
2022-12-16,2022,9 months,5.8
2022-06-27,2021,full year,2.7856
2020-06-15,2019,full year,1.90318
2019-07-01,2018,full year,0.472815
2018-06-05,2017,full year,1.0585165
2017-06-27,2016,full year,1.891782
2016-07-13,2015,full year,4.047105
